Opponent,Goals,Assists,Goals_Forward,Goals_Against,Match_Result,Season,Competition,Date,Month,Weather,Temperature
Damodar,0,0,1,0,W,Fall 21/22,Friendly,2021-09-12,SEP,Sunny,17
Real Bby,0,0,0,0,D,Fall 21/22,Friendly,2021-09-18,SEP,Cloudy,15
Dinamo,1,1,7,3,W,Fall 21/22,Friendly,2021-09-25,SEP,Cloudy,20
Akal,0,1,2,1,W,Fall 21/22,BMSL D3,2021-10-02,OCT,Cloudy,13
En Passant,1,1,2,4,L,Fall 21/22,BMSL D3,2021-10-17,OCT,Rain,10
Celts,0,0,0,3,L,Fall 21/22,BMSL D3,2021-10-24,OCT,Cloudy,11
Dinamo,2,0,6,3,W,Fall 21/22,BMSL D3,2021-10-31,OCT,Brisk,6
Wesburn,3,0,7,1,W,Fall 21/22,BMSL D3,2021-11-06,NOV,Rain,7
Hastings,1,0,1,1,D,Fall 21/22,BMSL D3,2021-11-20,NOV,Cloudy,6
Akal,0,0,1,5,L,Fall 21/22,BMSL D3,2021-11-28,NOV,Cloudy,10
OFK,0,0,2,1,W,Fall 21/22,BMSL D3,2021-12-05,DEC,Cloudy,3
Real Bby,1,0,1,0,W,Fall 21/22,BMSL D3,2022-01-30,JAN,Rain,6
EVFC,0,0,2,4,L,Fall 21/22,BMSL D3,2022-02-05,FEB,Cloudy,6
Lake City,0,0,1,0,W,Fall 21/22,BMSL D3,2022-02-12,FEB,Brisk,5
Vanchester,2,1,7,1,W,Fall 21/22,BMSL D3,2022-02-20,FEB,Brisk,5
En Passant,1,0,4,1,W,Fall 21/22,BMSL D3,2022-02-27,FEB,Rain,8
Saints,0,0,2,1,W,Fall 21/22,BMSL D3,2022-03-06,MAR,Cloudy,7
Real Bby,0,1,1,0,W,Fall 21/22,BMSL Cup,2022-03-13,MAR,Rain,10
Akal,0,0,0,1,L,Fall 21/22,BMSL Cup,2022-03-20,MAR,Rain,5
New West,0,0,4,1,W,Sum 22,Friendly,2022-04-05,APR,Cloudy,10
PMSC,0,0,1,1,PKL,Sum 22,KSL D2,2022-04-12,APR,Rain,6
PoCo,0,0,3,1,W,Sum 22,KSL D2,2022-04-19,APR,Cloudy,10
Kumovi,0,0,3,3,PKL,Sum 22,KSL D2,2022-05-11,MAY,Cloudy,12
PoCo,0,0,3,1,W,Sum 22,KSL D2,2022-05-17,MAY,Rain,13
PMSC,0,0,0,0,PKL,Sum 22,KSL D2,2022-05-24,MAY,Cloudy,14
Celts,0,0,1,1,PKW,Sum 22,KSL D2,2022-06-17,JUN,Cloudy,17
Viet,1,0,1,6,L,Sum 22,KSL D2,2022-06-24,JUN,Sunny,21
Kumovi,1,1,2,5,L,Sum 22,KSL D2,2022-06-29,JUN,Cloudy,18
Croatia,3,0,8,1,W,Fall 22/23,BMSL D2,2022-09-17,SEP,Cloudy,16
Hastings,2,1,4,1,W,Fall 22/23,BMSL Cup,2022-09-24,SEP,Sunny,18
Mexico,0,0,2,5,L,Fall 22/23,BMSL D2,2022-10-01,OCT,Sunny,19
Legion,0,2,3,2,W,Fall 22/23,BMSL D2,2022-10-23,OCT,Cloudy,10
Magpies,1,0,2,1,W,Fall 22/23,BMSL D2,2022-10-29,OCT,Cloudy,11
Canada,1,0,4,0,W,Fall 22/23,BMSL Cup,2022-11-05,NOV,Brisk,6
HaeTae,0,1,2,0,W,Fall 22/23,BMSL D2,2022-11-12,NOV,Brisk,4
Celts,1,0,2,2,D,Fall 22/23,BMSL D2,2022-11-19,NOV,Brisk,2
Roma,0,0,1,2,L,Fall 22/23,BMSL D2,2022-11-27,NOV,Cloudy,5
Viet,0,0,0,1,L,Fall 22/23,BMSL D2,2023-01-08,JAN,Rain,7
Football Team,0,0,3,0,W,Fall 22/23,BMSL Cup,2023-02-11,FEB,Brisk,5
Legion,2,0,4,1,W,Fall 22/23,BMSL D2,2023-02-18,FEB,Brisk,6
Magpies,2,0,4,0,W,Fall 22/23,BMSL D2,2023-02-25,FEB,Rain,1
Roma,0,0,1,1,L,Fall 22/23,BMSL D2,2023-03-11,MAR,Brisk,7
Real Bby,1,0,1,0,W,Fall 22/23,BMSL D2,2023-03-26,MAR,Brisk,8
New West,1,1,7,1,W,Sum 23,Friendly,2023-04-10,APR,Cloudy,9
EVFC,0,0,1,1,PKW,Sum 23,KSL D2,2023-04-13,APR,Rain,9
PMSC,0,0,0,3,L,Sum 23,KSL D2,2023-04-20,APR,Rain,5
LAFC,1,0,1,5,L,Sum 23,KSL D2,2023-04-27,APR,Cloudy,15
Quolus,0,1,1,5,L,Sum 23,KSL D2,2023-05-11,MAY,Sunny,22
EVFC,0,0,1,2,L,Sum 23,KSL D2,2023-05-18,MAY,Sunny,24
PMSC,1,0,1,5,L,Sum 23,KSL D2,2023-05-25,MAY,Sunny,21
LAFC,1,0,3,4,L,Sum 23,KSL D2,2023-06-01,JUN,Sunny,19
Quolus,1,0,1,5,L,Sum 23,KSL D2,2023-06-15,JUN,Sunny,19
PMSC,0,0,0,2,L,Sum 23,KSL D2,2023-06-29,JUN,Sunny,24
Damodar,1,0,2,5,L,Sum 23,Friendly,2023-07-23,JUL,Sunny,24
New West,3,0,9,1,W,Sum 23,Friendly,2023-08-03,AUG,Sunny,24
Juve FC,2,0,5,3,W,Sum 23,Friendly,2023-08-17,AUG,Sunny,24
Legion,0,0,3,0,W,Fall 23/24,BMSL D2,2023-09-10,SEP,Sunny,21
Real Bby,2,0,2,0,W,Fall 23/24,BMSL D2,2023-09-16,SEP,Sunny,20
Magpies,1,0,4,1,W,Fall 23/24,BMSL D2,2023-09-24,SEP,Rain,15
HaeTae,1,1,8,0,W,Fall 23/24,BMSL D2,2023-09-30,SEP,Cloudy,14
EVFC,0,0,0,1,L,Fall 23/24,BMSL D2,2023-10-14,OCT,Cloudy,15
Croatia,0,0,0,0,D,Fall 23/24,BMSL D2,2023-10-21,OCT,Cloudy,11
Mariachis,0,0,2,2,D,Fall 23/24,BMSL D2,2023-10-29,OCT,Brisk,6
Legion,1,0,3,1,W,Fall 23/24,BMSL D2,2023-11-04,NOV,Cloudy,13
Real Bby,1,0,4,2,W,Fall 23/24,BMSL D2,2023-11-12,NOV,Rain,8
EVFC,0,0,0,1,L,Fall 23/24,BMSL D2,2023-11-18,NOV,Brisk,8
Magpies,0,1,1,1,D,Fall 23/24,BMSL D2,2023-11-26,NOV,Brisk,4
HaeTae,2,0,2,0,W,Fall 23/24,BMSL D2,2023-12-02,DEC,Brisk,4
Mariachis,0,0,3,2,W,Fall 23/24,BMSL D2,2023-12-10,DEC,Rain,7
Croatia,0,0,1,0,W,Fall 23/24,BMSL D2,2023-12-17,DEC,Rain,8
Legion,1,2,4,0,W,Fall 23/24,BMSL D2,2024-01-07,JAN,Brisk,3
Real Bby,2,1,5,0,W,Fall 23/24,BMSL D2,2024-01-27,JAN,Rain,11
Magpies,1,0,4,1,W,Fall 23/24,BMSL D2,2024-02-03,FEB,Brisk,6
HaeTae,2,0,5,2,W,Fall 23/24,BMSL D2,2024-02-10,FEB,Rain,6
Grizzlies,0,0,2,0,W,Fall 23/24,BMSL Cup,2024-03-03,MAR,Rain,3
Brazcouver,0,0,0,1,L,Fall 23/24,BMSL Cup,2024-03-10,MAR,Rain,8
Ukraine,1,0,3,4,L,Fall 23/24,Friendly,2024-03-17,MAR,Sunny,16
Hounds,2,0,5,1,W,Sum 24,KSL D2,2024-04-11,APR,Rain,8
