Opponent,Goals,Assists,Goals_Forward,Goals_Against,Match_Result,Season,Competition,Date,Weather,Temperature
Damodar,,,1,0,W,Fall 21/22,Friendly,2021-09-12,Partially cloudy,17
Real Bby,,,0,0,D,Fall 21/22,Friendly,2021-09-18,Partially cloudy,15
Dinamo,1,1,7,3,W,Fall 21/22,Friendly,2021-09-25,Overcast,20
Akal,,1,2,1,W,Fall 21/22,BMSL D3,2021-10-02,Overcast,13
En Passant,1,1,2,4,L,Fall 21/22,BMSL D3,2021-10-17,"Rain, Overcast",10
Celts,,,0,3,L,Fall 21/22,BMSL D3,2021-10-24,Overcast,11
Dinamo,2,,6,3,W,Fall 21/22,BMSL D3,2021-10-31,Clear,6
Wesburn,3,,7,1,W,Fall 21/22,BMSL D3,2021-11-06,"Rain, Overcast",7
Vatos Locos,DNP,DNP,2,0,W,Fall 21/22,BMSL D3,2021-11-13,"Rain, Overcast",6
Hastings,1,,1,1,D,Fall 21/22,BMSL D3,2021-11-20,Overcast,6
Akal,,,1,5,L,Fall 21/22,BMSL D3,2021-11-28,Overcast,10
OFK,,,2,1,W,Fall 21/22,BMSL D3,2021-12-05,Overcast,3
Combo,DNP,DNP,6,2,W,Fall 21/22,BMSL D3,2021-12-12,"Rain, Overcast",4
Real Bby,1,,1,0,W,Fall 21/22,BMSL D3,2022-01-30,"Rain, Overcast",6
EVFC,,,2,4,L,Fall 21/22,BMSL D3,2022-02-05,Overcast,6
Lake City,,,1,0,W,Fall 21/22,BMSL D3,2022-02-12,Partially cloudy,5
Vanchester,2,1,7,1,W,Fall 21/22,BMSL D3,2022-02-20,Partially cloudy,5
En Passant,1,,4,1,W,Fall 21/22,BMSL D3,2022-02-27,"Rain, Overcast",8
Saints,,,2,1,W,Fall 21/22,BMSL D3,2022-03-06,Overcast,7
Real Bby,,1,1,0,W,Fall 21/22,BMSL Cup,2022-03-13,"Rain, Overcast",10
Akal,,,0,1,L,Fall 21/22,BMSL Cup,2022-03-20,"Rain, Overcast",5
New West,,,4,1,W,Sum 22,Friendly,2022-04-05,Partially cloudy,10
PMSC,,,1,1,PKL,Sum 22,KSL D2,2022-04-12,"Rain, Overcast",6
PoCo,,,3,1,W,Sum 22,KSL D2,2022-04-19,Partially cloudy,10
Viet,DNP,DNP,1,3,L,Sum 22,KSL D2,2022-04-26,Clear,11
Celts,DNP,DNP,2,0,W,Sum 22,KSL D2,2022-05-03,"Rain, Overcast",10
Kumovi,,,3,3,PKL,Sum 22,KSL D2,2022-05-11,Overcast,12
PoCo,,,3,1,W,Sum 22,KSL D2,2022-05-17,"Rain, Partially cloudy",13
PMSC,,,0,0,PKL,Sum 22,KSL D2,2022-05-24,Overcast,14
New West,DNP,DNP,1,2,L,Sum 22,KSL D2,2022-05-31,Partially cloudy,17
Celts,,,1,1,PKW,Sum 22,KSL D2,2022-06-17,Overcast,17
Viet,1,,1,6,L,Sum 22,KSL D2,2022-06-24,Partially cloudy,21
Kumovi,1,1,2,5,L,Sum 22,KSL D2,2022-06-29,Overcast,18
PMSC,DNP,DNP,0,5,L,Sum 22,KSL D2,2022-07-06,Overcast,20
Croatia,3,,8,1,W,Fall 22/23,BMSL D2,2022-09-17,Overcast,16
Hastings,2,1,4,1,W,Fall 22/23,BMSL Cup,2022-09-24,Partially cloudy,18
Mexico,,,2,5,L,Fall 22/23,BMSL D2,2022-10-01,Clear,19
Legion,,2,3,2,W,Fall 22/23,BMSL D2,2022-10-23,Overcast,10
Magpies,1,,2,1,W,Fall 22/23,BMSL D2,2022-10-29,Overcast,11
Canada,1,,4,0,W,Fall 22/23,BMSL Cup,2022-11-05,Partially cloudy,6
HaeTae,,1,2,0,W,Fall 22/23,BMSL D2,2022-11-12,Partially cloudy,4
Celts,1,,2,2,D,Fall 22/23,BMSL D2,2022-11-19,Clear,2
Roma,,,1,2,L,Fall 22/23,BMSL D2,2022-11-27,Overcast,5
Viet,,,0,1,L,Fall 22/23,BMSL D2,2023-01-08,"Rain, Overcast",7
Real Bby,DNP,DNP,2,3,L,Fall 22/23,BMSL D2,2023-01-15,Rain,8
HaeTae,DNP,DNP,2,1,W,Fall 22/23,BMSL D2,2023-01-22,Partially cloudy,4
Croatia,DNP,DNP,0,0,D,Fall 22/23,BMSL D2,2023-01-29,Clear,-1
Mexico,DNP,DNP,0,2,L,Fall 22/23,BMSL D2,2023-02-04,Overcast,8
Football Team,,,3,0,W,Fall 22/23,BMSL Cup,2023-02-11,Partially cloudy,5
Legion,2,,4,1,W,Fall 22/23,BMSL D2,2023-02-18,Partially cloudy,6
Magpies,2,,4,0,W,Fall 22/23,BMSL D2,2023-02-25,"Snow, Rain, Overcast",1
Roma,,,1,1,L,Fall 22/23,BMSL D2,2023-03-11,Partially cloudy,7
Real Bby,1,,1,0,W,Fall 22/23,BMSL D2,2023-03-26,Partially cloudy,8
New West,1,1,7,1,W,Sum 23,Friendly,2023-04-10,Overcast,9
EVFC,,,1,1,PKW,Sum 23,KSL D2,2023-04-13,"Rain, Partially cloudy",9
PMSC,,,0,3,L,Sum 23,KSL D2,2023-04-20,"Rain, Overcast",5
LAFC,1,,1,5,L,Sum 23,KSL D2,2023-04-27,Partially cloudy,15
Quolus,,1,1,5,L,Sum 23,KSL D2,2023-05-11,Partially cloudy,22
EVFC,,,1,2,L,Sum 23,KSL D2,2023-05-18,Partially cloudy,24
PMSC,1,,1,5,L,Sum 23,KSL D2,2023-05-25,Partially cloudy,21
LAFC,1,,3,4,L,Sum 23,KSL D2,2023-06-01,Partially cloudy,19
Quolus,1,,1,5,L,Sum 23,KSL D2,2023-06-15,Partially cloudy,19
EVFC,DNP,DNP,0,1,L,Sum 23,KSL D2,2023-06-22,Partially cloudy,22
PMSC,,,0,2,L,Sum 23,KSL D2,2023-06-29,Partially cloudy,24
LAFC,DNP,DNP,3,3,PKL,Sum 23,KSL D2,2023-07-06,Partially cloudy,26
Quolus,DNP,DNP,3,5,L,Sum 23,KSL D2,2023-07-13,Partially cloudy,24
Damodar,1,,2,5,L,Sum 23,Friendly,2023-07-23,Partially cloudy,24
New West,3,,9,1,W,Sum 23,Friendly,2023-08-03,Partially cloudy,24
Juve FC,2,,5,3,W,Sum 23,Friendly,2023-08-17,Clear,24
Damodar,DNP,DNP,1,2,L,Sum 23,Friendly,2023-08-24,Clear,21
Legion,,,3,0,W,Fall 23/24,BMSL D2,2023-09-10,Partially cloudy,21
Real Bby,2,,2,0,W,Fall 23/24,BMSL D2,2023-09-16,Partially cloudy,20
Magpies,1,,4,1,W,Fall 23/24,BMSL D2,2023-09-24,"Rain, Overcast",15
HaeTae,1,1,8,0,W,Fall 23/24,BMSL D2,2023-09-30,Partially cloudy,14
EVFC,,,0,1,L,Fall 23/24,BMSL D2,2023-10-14,Overcast,15
Croatia,,,0,0,D,Fall 23/24,BMSL D2,2023-10-21,Partially cloudy,11
Mariachis,,,2,2,D,Fall 23/24,BMSL D2,2023-10-29,Partially cloudy,6
Legion,1,,3,1,W,Fall 23/24,BMSL D2,2023-11-04,Partially cloudy,13
Real Bby,1,,4,2,W,Fall 23/24,BMSL D2,2023-11-12,"Rain, Overcast",8
EVFC,,,0,1,L,Fall 23/24,BMSL D2,2023-11-18,Partially cloudy,8
Magpies,,1,1,1,D,Fall 23/24,BMSL D2,2023-11-26,Partially cloudy,4
HaeTae,2,,2,0,W,Fall 23/24,BMSL D2,2023-12-02,Partially cloudy,4
Mariachis,,,3,2,W,Fall 23/24,BMSL D2,2023-12-10,"Rain, Overcast",7
Croatia,,,1,0,W,Fall 23/24,BMSL D2,2023-12-17,"Rain, Partially cloudy",8
Legion,1,2,4,0,W,Fall 23/24,BMSL D2,2024-01-07,Partially cloudy,3
Real Bby,2,1,5,0,W,Fall 23/24,BMSL D2,2024-01-27,"Rain, Partially cloudy",11
Magpies,1,,4,1,W,Fall 23/24,BMSL D2,2024-02-03,Partially cloudy,6
HaeTae,2,,5,2,W,Fall 23/24,BMSL D2,2024-02-10,"Rain, Partially cloudy",6
Grizzlies,,,2,0,W,Fall 23/24,BMSL Cup,2024-03-03,"Rain, Partially cloudy",3
Brazcouver,,,0,1,L,Fall 23/24,BMSL Cup,2024-03-10,"Rain, Partially cloudy",8
Ukraine,1,,3,4,L,Fall 23/24,Friendly,2024-03-17,Clear,16
Hounds,2,,5,1,W,Sum 24,KSL D2,2024-04-11,"Rain, Overcast",8
Jamrock,,,1,3,L,Sum 24,KSL D2,2024-04-16,Partially cloudy,11
Cosmos,,,2,2,PKW,Sum 24,KSL D2,2024-04-26,Partially cloudy,14
Atlixco,,,4,1,W,Sum 24,KSL D2,2024-04-29,Partially cloudy,12
Euro SA,DNP,DNP,0,1,L,Sum 24,KSL D2,2024-05-16,Partially cloudy,17
SC FC,,1,1,7,L,Sum 24,KSL D2,2024-05-24,"Rain, Overcast",11
We’R,DNP,DNP,1,0,W,Sum 24,KSL D2,2024-05-30,Partially cloudy,16
Bombastic,DNP,DNP,2,4,L,Sum 24,KSL D2,2024-06-07,Partially cloudy,22
Twin Arrows,DNP,DNP,0,1,L,Sum 24,KSL D2,2024-06-12,Partially cloudy,17
PMSC,DNP,DNP,1,5,L,Sum 24,KSL D2,2024-06-20,Partially cloudy,24
Shaheen,DNP,DNP,0,2,L,Sum 24,KSL D2,2024-06-25,Clear,20
GFC Lions,DNP,DNP,4,1,W,Sum 24,KSL D2,2024-07-04,Clear,22
GFC Lions,DNP,DNP,5,0,W,Sum 24,KSL D2,2024-07-18,Partially cloudy,25
Pegasus,DNP,DNP,0,3,L,Sum 24,KSL D2,2024-07-30,Partially cloudy,20
